objectid,uuid,iiifthumburl,iiifurl,title,attribution,attributioninverted,displaydate,beginyear,endyear,visualbrowsertimespan,medium,classification,subclassification,visualbrowserclassification,accessionnum,width,height,maxpixels,artist_name,nationality,vis_nationality,artist_born,artist_died,art_style,art_theme,local_path
0,7b170a4c-9d44-475c-b294-cee6f43d88af,"https://api.nga.gov/iiif/7b170a4c-9d44-475c-b294-cee6f43d88af/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/7b170a4c-9d44-475c-b294-cee6f43d88af,Saint James Major,Grifo di Tancredi,Grifo di Tancredi,c. 1310,1310.0,1310.0,1300 to 1400,tempera on panel,Painting,,painting,1937.1.2.c,2846,5153,,Grifo di Tancredi,Italian,Italian,1271.0,1328.0,Gothic,religious,/kaggle/working/nga_images/0.jpg
1,7bbcfd01-e774-46e7-96d1-a3b03598cd8a,"https://api.nga.gov/iiif/7bbcfd01-e774-46e7-96d1-a3b03598cd8a/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/7bbcfd01-e774-46e7-96d1-a3b03598cd8a,Saint Paul and a Group of Worshippers,Bernardo Daddi,"Daddi, Bernardo",1333,1333.0,1333.0,1300 to 1400,tempera on panel,Painting,,painting,1937.1.3,6004,15544,,"Daddi, Bernardo",Italian,Italian,1320.0,1348.0,Gothic,religious,/kaggle/working/nga_images/1.jpg
17,08ab1072-423c-43f5-9e38-d4ed482a760c,"https://api.nga.gov/iiif/08ab1072-423c-43f5-9e38-d4ed482a760c/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/08ab1072-423c-43f5-9e38-d4ed482a760c,Matteo Olivieri (?),Florentine 15th Century,Florentine 15th Century,1430s,1430.0,1440.0,1401 to 1500,tempera (and oil?) on panel transferred to canvas,Painting,,painting,1937.1.15,4121,5785,,Florentine 15th Century,Italian,Italian,1400.0,1499.0,Renaissance,portrait,
18,e6497b39-66a9-4b6b-bf2b-c1633d20c0b6,"https://api.nga.gov/iiif/e6497b39-66a9-4b6b-bf2b-c1633d20c0b6/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/e6497b39-66a9-4b6b-bf2b-c1633d20c0b6,The Annunciation,Masolino da Panicale,Masolino da Panicale,c. 1423/1424,1383.0,1435.0,1300 to 1400,tempera (and possibly oil glazes) on panel,Painting,,painting,1937.1.16,5015,6482,,Masolino da Panicale,Italian,Italian,1383.0,1435.0,Renaissance,religious,/kaggle/working/nga_images/18.jpg
29,b43e331e-ede9-44ca-a276-0b8806630fbd,"https://api.nga.gov/iiif/b43e331e-ede9-44ca-a276-0b8806630fbd/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/b43e331e-ede9-44ca-a276-0b8806630fbd,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [left panel]",Pietro Perugino,"Perugino, Pietro",c. 1482/1485,1482.0,1485.0,1401 to 1500,oil on panel transferred to canvas,Painting,,painting,1937.1.27.a,5088,16616,,"Perugino, Pietro",Italian,Italian,1450.0,1523.0,Renaissance,religious,/kaggle/working/nga_images/29.jpg
43,9bc6943e-0f09-4861-b665-fc4b0a7c29d1,"https://api.nga.gov/iiif/9bc6943e-0f09-4861-b665-fc4b0a7c29d1/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/9bc6943e-0f09-4861-b665-fc4b0a7c29d1,Madonna and Child and the Infant Saint John in a Landscape,Polidoro Lanzani,Polidoro Lanzani,1540/1550,1540.0,1550.0,1501 to 1550,oil on canvas,Painting,,painting,1937.1.36,15605,7263,,Polidoro Lanzani,Italian,Italian,1515.0,1565.0,Renaissance,religious,/kaggle/working/nga_images/43.jpg
58,51c903d0-02a1-404b-bf92-1e3942c02fef,"https://api.nga.gov/iiif/51c903d0-02a1-404b-bf92-1e3942c02fef/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/51c903d0-02a1-404b-bf92-1e3942c02fef,"Henry, Duke of Gloucester",Adriaen Hanneman,"Hanneman, Adriaen",c. 1653,1653.0,1653.0,1651 to 1700,oil on canvas,Painting,,painting,1937.1.51,3793,4591,,"Hanneman, Adriaen",Dutch,Dutch,1603.0,1671.0,Baroque,portrait,/kaggle/working/nga_images/58.jpg
59,2b2c95ba-68bc-4a33-a23e-878bc480e874,"https://api.nga.gov/iiif/2b2c95ba-68bc-4a33-a23e-878bc480e874/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/2b2c95ba-68bc-4a33-a23e-878bc480e874,Portrait of a Gentleman,Antonis Mor,"Mor, Antonis",1569,1569.0,1569.0,1551 to 1600,oil on canvas,Painting,,painting,1937.1.52,12019,16405,,"Mor, Antonis",Netherlandish,Netherlandish,1519.0,1576.0,Renaissance,portrait,/kaggle/working/nga_images/59.jpg
53,ed2ea547-9cc6-437f-9068-af7f4a916c9d,"https://api.nga.gov/iiif/ed2ea547-9cc6-437f-9068-af7f4a916c9d/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/ed2ea547-9cc6-437f-9068-af7f4a916c9d,Portrait of Diego de Guevara (?),Michel Sittow,"Sittow, Michel",c. 1515/1518,1515.0,1518.0,1501 to 1550,oil on panel,Painting,,painting,1937.1.46,3444,4854,,"Sittow, Michel",Netherlandish,Netherlandish,1469.0,1525.0,Renaissance,portrait,/kaggle/working/nga_images/53.jpg
54,d76578e1-a53e-4785-9e16-0425760984ba,"https://api.nga.gov/iiif/d76578e1-a53e-4785-9e16-0425760984ba/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/d76578e1-a53e-4785-9e16-0425760984ba,Isabella Brant,Sir Anthony van Dyck,"Dyck, Anthony van, Sir",1621,1621.0,1621.0,1601 to 1650,oil on canvas,Painting,,painting,1937.1.47,9321,11855,,"Dyck, Anthony van, Sir",Flemish,Flemish,1599.0,1641.0,Baroque,portrait,/kaggle/working/nga_images/54.jpg
