objectid,uuid,iiifthumburl,iiifurl,title,attribution,attributioninverted,displaydate,beginyear,endyear,visualbrowsertimespan,medium,classification,subclassification,visualbrowserclassification,accessionnum,width,height,maxpixels,artist_name,nationality,vis_nationality,artist_born,artist_died,art_style,art_theme,local_path
59,2b2c95ba-68bc-4a33-a23e-878bc480e874,"https://api.nga.gov/iiif/2b2c95ba-68bc-4a33-a23e-878bc480e874/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/2b2c95ba-68bc-4a33-a23e-878bc480e874,Portrait of a Gentleman,Antonis Mor,"Mor, Antonis",1569,1569.0,1569.0,1551 to 1600,oil on canvas,Painting,,painting,1937.1.52,12019,16405,,"Mor, Antonis",Netherlandish,Netherlandish,1519.0,1576.0,Renaissance,portrait,/kaggle/working/nga_images/59.jpg
1177,7681ffe3-535b-4e75-9d28-a288d7ce0cf5,"https://api.nga.gov/iiif/7681ffe3-535b-4e75-9d28-a288d7ce0cf5/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/7681ffe3-535b-4e75-9d28-a288d7ce0cf5,Portrait of Lorenzo di Credi,Pietro Perugino,"Perugino, Pietro",1488,1488.0,1488.0,1401 to 1500,oil on panel transferred to canvas,Painting,,painting,1942.9.38,19300,27553,,"Perugino, Pietro",Italian,Italian,1450.0,1523.0,Renaissance,portrait,/kaggle/working/nga_images/1177.jpg
1214,6357c7b8-918f-4066-97b5-e699198b504e,"https://api.nga.gov/iiif/6357c7b8-918f-4066-97b5-e699198b504e/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/6357c7b8-918f-4066-97b5-e699198b504e,Lady Elizabeth Hamilton,Sir Joshua Reynolds,"Reynolds, Joshua, Sir",1758,1758.0,1758.0,1751 to 1775,oil on canvas,Painting,,painting,1942.9.75,2215,3156,,"Reynolds, Joshua, Sir",British,British,1723.0,1792.0,,portrait,/kaggle/working/nga_images/1214.jpg
46037,aa4d19fa-6a66-457d-8b85-6cc6c2484cd5,"https://api.nga.gov/iiif/aa4d19fa-6a66-457d-8b85-6cc6c2484cd5/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/aa4d19fa-6a66-457d-8b85-6cc6c2484cd5,Young Woman and Man,French 18th Century,French 18th Century,18th century,1700.0,1799.0,1651 to 1700,oil on wood,Painting,,painting,1960.6.13,1521,1842,,French 18th Century,French,French,1700.0,1799.0,Rococo,figure,/kaggle/working/nga_images/46037.jpg
46631,40d7c2c9-36f2-47d8-be55-889dc6f4e53c,"https://api.nga.gov/iiif/40d7c2c9-36f2-47d8-be55-889dc6f4e53c/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/40d7c2c9-36f2-47d8-be55-889dc6f4e53c,Nude Seated,Childe Hassam,"Hassam, Childe",1912,1912.0,1912.0,1901 to 1925,oil on canvas,Painting,,painting,1963.10.156,6940,7625,,"Hassam, Childe",American,American,1859.0,1935.0,Impressionist,figure,/kaggle/working/nga_images/46631.jpg
73834,f503b66e-4fa5-4521-bb44-bb8f8cf36185,"https://api.nga.gov/iiif/f503b66e-4fa5-4521-bb44-bb8f8cf36185/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/f503b66e-4fa5-4521-bb44-bb8f8cf36185,Seated Figure with Hat,Richard Diebenkorn,"Diebenkorn, Richard",1967,1967.0,1967.0,1951 to 1975,oil on canvas,Painting,,painting,1991.176.1,4078,3809,,"Diebenkorn, Richard",American,American,1922.0,1993.0,Abstract Expressionist,figure,/kaggle/working/nga_images/73834.jpg
97063,2e694859-eac1-4662-b1dd-ac0d10273655,"https://api.nga.gov/iiif/2e694859-eac1-4662-b1dd-ac0d10273655/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/2e694859-eac1-4662-b1dd-ac0d10273655,Marie Buloz Pailleron (Madame Édouard Pailleron),John Singer Sargent,"Sargent, John Singer",1879,1879.0,1879.0,1876 to 1900,oil on canvas,Painting,,painting,2014.79.53,13386,27691,,"Sargent, John Singer",American,American,1856.0,1925.0,Impressionist,portrait,/kaggle/working/nga_images/97063.jpg
1213,ee937274-0923-45dc-b493-7e4cbd4efea3,"https://api.nga.gov/iiif/ee937274-0923-45dc-b493-7e4cbd4efea3/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/ee937274-0923-45dc-b493-7e4cbd4efea3,Lady Cornewall,Sir Joshua Reynolds,"Reynolds, Joshua, Sir",c. 1785-1786,1785.0,1786.0,1776 to 1800,oil on canvas,Painting,,painting,1942.9.74,2357,2966,,"Reynolds, Joshua, Sir",British,British,1723.0,1792.0,,portrait,/kaggle/working/nga_images/1213.jpg
34096,5704b1ee-30e7-4efb-831b-5a8f3e5e1fbd,"https://api.nga.gov/iiif/5704b1ee-30e7-4efb-831b-5a8f3e5e1fbd/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/5704b1ee-30e7-4efb-831b-5a8f3e5e1fbd,Portrait of a Lady,British 18th Century,British 18th Century,c. 1770/1775,1770.0,1775.0,1751 to 1775,oil on canvas,Painting,,painting,1947.17.48,5160,6749,,British 18th Century,British,British,1700.0,1799.0,,portrait,/kaggle/working/nga_images/34096.jpg
34117,2bae6118-a629-4dd7-97ce-fc427ba3fe49,"https://api.nga.gov/iiif/2bae6118-a629-4dd7-97ce-fc427ba3fe49/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/2bae6118-a629-4dd7-97ce-fc427ba3fe49,Portrait of a Lady,French 19th Century,French 19th Century,c. 1810,1810.0,1810.0,1801 to 1825,oil on canvas,Painting,,painting,1947.17.69,4836,6526,,French 19th Century,French,French,1800.0,1899.0,Neoclassic,portrait,/kaggle/working/nga_images/34117.jpg
41726,144aadd7-af1c-4d1b-9427-a53b704718a7,"https://api.nga.gov/iiif/144aadd7-af1c-4d1b-9427-a53b704718a7/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/144aadd7-af1c-4d1b-9427-a53b704718a7,Portrait of a Lady,Francesco Salviati,"Salviati, Francesco",c. 1555,1555.0,1555.0,1551 to 1600,oil on panel,Painting,,painting,1952.6.1,4588,5884,,"Salviati, Francesco",Italian,Italian,1510.0,1563.0,Renaissance,portrait,
43599,506af2ff-29c4-43b3-99cf-676453ac0761,"https://api.nga.gov/iiif/506af2ff-29c4-43b3-99cf-676453ac0761/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/506af2ff-29c4-43b3-99cf-676453ac0761,Lady Algernon Percy,James Millar,"Millar, James",c. 1777/1780,1777.0,1780.0,1776 to 1800,oil on canvas,Painting,,painting,1956.9.5,5473,7117,,"Millar, James",British,British,1740.0,1805.0,,portrait,/kaggle/working/nga_images/43599.jpg
46564,26381349-4c6a-4fa3-9cda-3d112c2f9433,"https://api.nga.gov/iiif/26381349-4c6a-4fa3-9cda-3d112c2f9433/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/26381349-4c6a-4fa3-9cda-3d112c2f9433,Nude Woman with Fruit,Georges Braque,"Braque, Georges",1925,1925.0,1925.0,1901 to 1925,oil on canvas,Painting,,painting,1963.10.89,5801,7220,640.0,"Braque, Georges",French,French,1882.0,1963.0,,figure,/kaggle/working/nga_images/46564.jpg
46563,932b8b31-1e07-41a0-87cd-7f943a69c608,"https://api.nga.gov/iiif/932b8b31-1e07-41a0-87cd-7f943a69c608/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/932b8b31-1e07-41a0-87cd-7f943a69c608,Nude Woman with Basket of Fruit,Georges Braque,"Braque, Georges",1926,1926.0,1926.0,1926 to 1950,oil on canvas,Painting,,painting,1963.10.88,9409,20557,640.0,"Braque, Georges",French,French,1882.0,1963.0,,figure,/kaggle/working/nga_images/46563.jpg
46634,e953a62f-2c34-465d-be88-cc25268b4e1f,"https://api.nga.gov/iiif/e953a62f-2c34-465d-be88-cc25268b4e1f/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/e953a62f-2c34-465d-be88-cc25268b4e1f,Woman with a Mirror,Fernand Léger,"Léger, Fernand",1929,1929.0,1929.0,1926 to 1950,oil on canvas,Painting,,painting,1963.10.159,6136,9428,640.0,"Léger, Fernand",French,French,1881.0,1955.0,,figure,
46642,55424572-8a01-458d-af68-3d57d4f1867d,"https://api.nga.gov/iiif/55424572-8a01-458d-af68-3d57d4f1867d/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/55424572-8a01-458d-af68-3d57d4f1867d,"Odalisque Seated with Arms Raised, Green Striped Chair",Henri Matisse,"Matisse, Henri",1923,1923.0,1923.0,1901 to 1925,oil on canvas,Painting,,painting,1963.10.167,17964,23331,640.0,"Matisse, Henri",French,French,1869.0,1954.0,,figure,/kaggle/working/nga_images/46642.jpg
46664,26833f2a-be4f-43cc-9216-b226c37557a3,"https://api.nga.gov/iiif/26833f2a-be4f-43cc-9216-b226c37557a3/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/26833f2a-be4f-43cc-9216-b226c37557a3,Classical Head,Pablo Picasso,"Picasso, Pablo",1922,1922.0,1922.0,1901 to 1925,oil on canvas,Painting,,painting,1963.10.189,4891,5997,640.0,"Picasso, Pablo",Spanish,Spanish,1881.0,1973.0,,figure,/kaggle/working/nga_images/46664.jpg
46672,4bff26e6-7bea-40bd-8a5c-d0169a67cabe,"https://api.nga.gov/iiif/4bff26e6-7bea-40bd-8a5c-d0169a67cabe/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/4bff26e6-7bea-40bd-8a5c-d0169a67cabe,Two Youths,Pablo Picasso,"Picasso, Pablo",1906,1906.0,1906.0,1901 to 1925,oil on canvas,Painting,,painting,1963.10.197,2072,3374,640.0,"Picasso, Pablo",Spanish,Spanish,1881.0,1973.0,,figure,/kaggle/working/nga_images/46672.jpg
52967,38f8cffe-50a1-43f9-8f8d-50a62195572d,"https://api.nga.gov/iiif/38f8cffe-50a1-43f9-8f8d-50a62195572d/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/38f8cffe-50a1-43f9-8f8d-50a62195572d,Ichabod Crane and the Headless Horseman,after William John Wilgus,"Wilgus, William John, after",c. 1855,1855.0,1855.0,1851 to 1875,oil on canvas,Painting,,painting,1971.83.21,6939,4794,,Anonymous Artist,Unknown,Other,,,Naive,secular,/kaggle/working/nga_images/52967.jpg
53580,d5131a31-8fb0-4fb8-a13f-e82af9b0d377,"https://api.nga.gov/iiif/d5131a31-8fb0-4fb8-a13f-e82af9b0d377/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/d5131a31-8fb0-4fb8-a13f-e82af9b0d377,Easter Sunday,Alexej von Jawlensky,"Jawlensky, Alexej von",1932,1932.0,1932.0,1926 to 1950,oil on hardboard,Painting,,painting,1973.2.1,4744,6590,640.0,"Jawlensky, Alexej von",Russian,Russian,1864.0,1941.0,German Expressionist,figure,/kaggle/working/nga_images/53580.jpg
60661,4ce3a582-bbd3-43ff-bd7e-ec3d71bd6444,"https://api.nga.gov/iiif/4ce3a582-bbd3-43ff-bd7e-ec3d71bd6444/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/4ce3a582-bbd3-43ff-bd7e-ec3d71bd6444,Head of a Catalan Peasant,Joan Miró,"Miró, Joan",1924,1924.0,1924.0,1901 to 1925,oil and crayon on canvas,Painting,,painting,1981.9.1,7602,9756,640.0,"Miró, Joan",Spanish,Spanish,1893.0,1983.0,Surrealist,portrait,/kaggle/working/nga_images/60661.jpg
67384,b4bc3f0f-0110-4acf-997b-1b43c583c30e,"https://api.nga.gov/iiif/b4bc3f0f-0110-4acf-997b-1b43c583c30e/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/b4bc3f0f-0110-4acf-997b-1b43c583c30e,Portrait of a Young Girl,Mark Rothko,"Rothko, Mark",c. 1932,1932.0,1932.0,1926 to 1950,oil on canvas on board,Painting,,painting,1986.43.27,900,1200,640.0,"Rothko, Mark",American,American,1903.0,1970.0,Abstract Expressionist,figure,/kaggle/working/nga_images/67384.jpg
67386,a19d1305-fe4c-414b-8538-a6c772ef5ab0,"https://api.nga.gov/iiif/a19d1305-fe4c-414b-8538-a6c772ef5ab0/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/a19d1305-fe4c-414b-8538-a6c772ef5ab0,Seated Nude,Mark Rothko,"Rothko, Mark",c. 1934,1934.0,1934.0,1926 to 1950,oil on hardboard,Painting,,painting,1986.43.29,10801,13839,640.0,"Rothko, Mark",American,American,1903.0,1970.0,Abstract Expressionist,figure,/kaggle/working/nga_images/67386.jpg
67395,ca437163-c68d-464d-b941-9a6017959345,"https://api.nga.gov/iiif/ca437163-c68d-464d-b941-9a6017959345/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/ca437163-c68d-464d-b941-9a6017959345,Contemplation,Mark Rothko,"Rothko, Mark",1937/1938,1937.0,1938.0,1926 to 1950,oil on canvas,Painting,,painting,1986.43.38,27879,20860,640.0,"Rothko, Mark",American,American,1903.0,1970.0,Abstract Expressionist,figure,/kaggle/working/nga_images/67395.jpg
67401,61a8769f-d69f-490a-bc0c-4e6103102ebb,"https://api.nga.gov/iiif/61a8769f-d69f-490a-bc0c-4e6103102ebb/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/61a8769f-d69f-490a-bc0c-4e6103102ebb,Portrait,Mark Rothko,"Rothko, Mark",1936,1936.0,1936.0,1926 to 1950,oil on canvas,Painting,,painting,1986.43.44,4551,7460,640.0,"Rothko, Mark",American,American,1903.0,1970.0,Abstract Expressionist,figure,/kaggle/working/nga_images/67401.jpg
67405,cbb9789d-4bc2-446f-8ff9-f7bfe5cdf2c0,"https://api.nga.gov/iiif/cbb9789d-4bc2-446f-8ff9-f7bfe5cdf2c0/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/cbb9789d-4bc2-446f-8ff9-f7bfe5cdf2c0,Untitled (woman and girl by a window),Mark Rothko,"Rothko, Mark",1936/1937,1936.0,1937.0,1926 to 1950,oil on canvas,Painting,,painting,1986.43.48,14678,12216,640.0,"Rothko, Mark",American,American,1903.0,1970.0,Abstract Expressionist,figure,/kaggle/working/nga_images/67405.jpg
67414,f4b64400-0a9d-424a-bfe9-082358d38d67,"https://api.nga.gov/iiif/f4b64400-0a9d-424a-bfe9-082358d38d67/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/f4b64400-0a9d-424a-bfe9-082358d38d67,Untitled (woman with sculpture),Mark Rothko,"Rothko, Mark",1934/1935,1934.0,1935.0,1926 to 1950,oil on linen,Painting,,painting,1986.43.57,30481,17791,640.0,"Rothko, Mark",American,American,1903.0,1970.0,Abstract Expressionist,figure,/kaggle/working/nga_images/67414.jpg
67455,191e5261-c8fe-4cf0-a983-3eb9f9f9766d,"https://api.nga.gov/iiif/191e5261-c8fe-4cf0-a983-3eb9f9f9766d/full/!200,200/0/default.jpg",https://api.nga.gov/iiif/191e5261-c8fe-4cf0-a983-3eb9f9f9766d,Woman Reading,Mark Rothko,"Rothko, Mark",c. 1933,1933.0,1933.0,1926 to 1950,oil on canvas,Painting,,painting,1986.43.98,23428,20111,640.0,"Rothko, Mark",American,American,1903.0,1970.0,Abstract Expressionist,figure,/kaggle/working/nga_images/67455.jpg
